['bewustzijn'],1,12:20:48.162
['bobde'],0,12:20:53.162
['dassen'],1,12:20:58.162
['orteerd'],0,12:21:03.162
['zweldel'],0,12:21:08.162
['leigen'],0,12:21:13.162
['ombleef'],0,12:21:18.162
['haseer'],0,12:21:23.162
['complicaties'],1,12:21:28.162
['onost'],0,12:21:33.162
['vreed'],0,12:21:38.162
['grafeit'],0,12:21:43.162
['submen'],0,12:21:48.162
['stijf'],1,12:21:53.162
['telegraaf'],1,12:21:58.162
['kajade'],0,12:22:03.162
['indelen'],1,12:22:08.162
['beschouwing'],1,12:22:13.162
['stanker'],0,12:22:18.162
['handhaven'],1,12:22:23.162
['parf'],0,12:22:28.162
['borst'],1,12:22:33.162
['gevoelig'],1,12:22:38.162
['modelt'],0,12:22:43.162
['dijken'],1,12:22:48.162
['standbeeld'],1,12:22:53.162
['zuipen'],1,12:22:58.162
['bolleboos'],1,12:23:03.162
['vaarde'],0,12:23:08.162
['inventief'],1,12:23:13.162
['paleis'],1,12:23:18.162
['bioleren'],0,12:23:23.162
['klag'],0,12:23:28.162
['oerd'],0,12:23:33.162
['wei'],1,12:23:38.162
['synthesen'],1,12:23:43.162
['incidenten'],1,12:23:48.162
['fameur'],0,12:23:53.162
['literatuur'],1,12:23:58.162
['compel'],0,12:24:03.162
['belanghebbenden'],1,12:24:08.162
['achteruit'],1,12:24:13.162
['opvoeg'],0,12:24:18.162
['pakt'],1,12:24:23.162
['excuus'],1,12:24:28.162
['zoals'],1,12:24:33.162
['far'],0,12:24:38.162
['tramen'],0,12:24:43.162
['drume'],0,12:24:48.162
['bestuderen'],1,12:24:53.162
